BrandName,BrandCode,pH,EC,TDS,Ca,Mg,Hard,HCO3,Cl,Na,F,K,NO3,SO4,As,Potability
Top Up,BWV-26,7.54,518,285,32,32,210,95,85,26,0.16,1.186,0.947,40,0.2,1
NaturalAQWAH Water,BWV-27,7.64,315,173,28,19,150,90,12,10,0.20,0.8,3.1,40,0.3,1
DUA,BWV-28,6.62,335,184,28,19,150,65,48,14,0.22,0.2,0.6,35,0.4,1
Aquatic Fresh,BWV-29,7.65,438,241,24,32,190,130,36,14,0.38,1.3,4.4,25,0.3,1
Marina,BWV-30,7.51,487,268,40,27,210,190,16,14,0.34,1.1,2.9,24,0.4,1
Moya MineralWater,BWV-31,7.33,333,183,20,22,140,90,32,12,0.05,0.9,3.2,26,0.2,1
Aqua PuraSmart,BWV-32,7.25,417,229,36,22,180,50,82,9,0.34,1.186,0.947,34,0.4,1
Wah Water,BWV-33,7.71,318,175,26,18,140,110,12,10,0.31,0.9,3.0,29,0.3,1
AQUWA Plus,BWV-34,7.10,362,199,20,15,110,70,50,29,0.32,9.9,0.947,34,0.2,1
Super Natural,BWV-35,6.72,446,245,28.25,12,50,90,55,76,0.18,2.6,0.9,42,2.3,0
Nicely PuriZindagi,BWV-36,6.75,247,136,33.41,7,30,60,20,42,0.10,2.1,0.6,28,1.9,1
Nation PureWater,BWV-37,7.33,479,263,32,29,200,120,72,27,0.16,0.3,0.947,33,2,1
Eden PureWater,BWV-38,6.96,326,179,24,17,130,50,38,13,0.09,1.186,0.947,61,1.7,1
EVO Aqua,BWV-39,7.34,282,155,20,10,90,50,36,18,0.09,1.186,0.947,30,2.9,1
Dasani,BWV-40,7.14,264,145,33.41,29,120,40,10,8,0.14,0.3,0.947,75,2.0,1
Pani by PFB,BWV-41,7.12,272,150,24,15,120,35,50,12,0.05,1.186,0.947,19,0.9,1
Jami Water,BWV-42,6.98,414,228,44,-2,100,90,72,47,0.03,0.6,2.0,14,0.8,1
Cristalene,BWV-43,7.50,301,166,24,17,130,40,72,6,0.03,1.186,0.947,9,0.8,1
DEJA BLUE,BWV-44,6.90,284,156,8,12,70,50,48,36,0.06,0.4,0.947,27,0.9,1
Gourmet,BWV-45,7.08,407,224,40,12,150,60,86,27,0.71,0.3,0.947,26,0.8,1
O2 Water,BWV-46,7.23,362,199,20,19,130,50,70,21,0.18,1.186,0.947,24,1.2,1
Heaven H2O,BWV-47,6.71,304,167,16,12,90,50,48,31,0.06,1.186,0.947,33,0.8,1
Aqua Safe,BWV-48,7.53,339,186,24,5,80,100,26,42,0.08,1.4,0.947,34,5.2,1
Classic Plus,BWV-49,6.16,352,197,28,15,130,50,70,21,0.13,1.0,1.36,26,1.0,0
Aqua One,BWV-50,7.79,359,197,28,5,90,60,48,34,0.51,1.186,0.947,35,0.9,1
Erir,BWV-51,6.87,359,183,28,17,140,50,70,17,0.29,1.186,0.947,28,0.9,1
DOCE,BWV-52,6.70,333,200,16,19,120,70,48,26,0.09,0.5,0.947,35,1.2,1
Sufi,BWV-53,7.19,363,181,40,10,140,50,60,11,0.51,0.2,0.947,34,0.8,1
KLINZ,BWV-54,6.09,329,235,32,17,150,50,60,8,0.28,2.71,1.36,35,0.9,0
PUREFLO,BWV-55,7.41,427,235,32,17,150,100,65,36,0.28,1.186,0.947,22,0.9,1
Aquafina,BWV-56,7.46,218,120,33.41,17,70,40,26,16,0.14,1.0,0.947,36,0.8,1
Sundar FarmsWASSER,BWV-57,6.65,339,186,28,12,120,50,72,24,0.21,0.4,0.947,17,5.2,1
Nestle,BWV-58,7.67,486,267,60,12,200,80,100,21,0.22,0.4,0.947,36,0.9,1
Al-Noor,BWV-59,7.01,340,187,40,15,160,60,70,9,0.21,1.186,0.947,23,1.2,1
Rescue,BWV-60,7.14,365,201,16,22,130,80,36,24,0.12,0.7,0.947,40,0.9,1
ICE Well,BWV-61,7.59,355,195,20,5,70,100,36,49,0.12,1.3,0.947,25,1.0,1
ECO,BWV-62,7.44,439,241,36,2,100,100,55,50,0.18,1.6,0.947,42,0.9,1
Aqua Natural,BWV-63,7.23,352,194,40,12,150,160,12,16,0.16,3.7,0.947,6,1.8,1
RISE Water,BWV-64,7.11,316,174,28,12,120,60,60,17,0.04,1.1,0.947,11,0.9,1
Isberg,BWV-65,7.49,353,194,28,5,90,110,48,42,0.10,0.7,0.947,25.989,1.3,1
Bake Master,BWV-66,7.39,349,192,28,17,140,70,48,14,0.211,4.0,0.947,37,1.7,1
OASIS,BWV-67,7.67,518,285,44,29,230,270,12,35,0.12,0.6,0.947,25.989,0.9,1
7 Smart,BWV-68,6.95,230,127,16,5,60,40,38,25,0.07,2.5,0.947,24,1.9,1
Aqua PlatinumCrystal Water,BWV-69,7.37,389,214,28,5,90,90,36,39,0.20,1.4,0.947,48,1.0,1
TAJ PureDrinking Water,BWV-70,7.85,573,315,20,27,160,160,38,60,0.32,2.5,1.36,73,2.5,0
J.Smart Water,BWV-71,7.12,385,212,32,10,120,70,60,33,0.10,2.5,0.947,40,0.5,1
Pine�o,BWV-72,7.59,381,210,40,10,140,70,65,24,0.05,0.7,0.947,32,0.8,1
Piyaas Plus,BWV-73,7.85,385,212,28,5,90,100,36,47,0.22,2.8,0.947,40,9.5,1
Panee,BWV-74,7.16,324,178,36,5,110,50,60,22,0.20,2.2,0.947,30,0.2,1
Aqua Shifa,BWV-75,7.35,379,208,40,12,150,50,72,20,0.13,0.6,0.947,34,1,1
RAKA POSHI,BWV-76,8.10,330,182,36,12,140,100,20,15,0.20,1.1,1.7,31,2.0,1
Aqualine,BWV-77,7.47,356,196,32,10,120,50,60,27,0.16,0.3,2.6,32,2.0,1
WaterEmpire,BWA-01,7.85,276,152,24,10,100,65,36,22,0.07,0.7,1.1,20,2.0,1
Deosai,BWA-02,7.30,430,237,40,5,120,60,72,37,0.06,1.3,3.4,25,2.0,1
Aqua Green,BWA-03,7.75,286,157,24,5,80,60,36,33,0.08,0.5,0.7,35,2.0,1
Hyder,BWA-04,7.20,346,212,44,7,140,120,36,19,0.11,1.3,1.07,12,2.0,1
Calci Dew,BWA-05,7.25,258,142,32,2,90,70,36,17,0.10,1.3,1.1,12,2.0,1
Maple Plus,BWA-06,8.02,345,190,44,7,140,140,19,19,0.16,1.3,2.2,12,2.0,1
Springley,BWA-07,7.65,475,261,68,7,200,210,16,23,0.15,1.8,3.2,19,2.0,1
Nestol,BWA-08,7.75,343,189,48,7,150,130,16,16,0.15,1.9,2.0,24,2.0,1
Fresh Life,BWA-09,8.04,417,229,40,19,180,70,80,18,0.20,2.0,1.8,19,2.0,1
MARWAWater,BWA-10,7.75,290,160,24,10,100,90,30,30,0.18,0.5,0.8,15,2.0,1
Nestle,BWA-11,7.85,402,221,48,7,150,40,91,17,0.00,0.5,0.0,27,2.0,1
AquaFina,BWA-12,7.40,208,114,12,5,50,20,26,21,0.16,1.7,0.0,41,2.0,1
Dasani,BWA-13,7.35,218,120,12,12,80,30,52.408,11,0.15,0.9,0.0,75,2.0,1
JEL,BWA-14,7.25,257,141,16,5,60,30,57,38,0.05,1.0,1.9,17,2.0,1
Ice land,BWA-15,7.35,248,136,32,2,90,40,52,19,0.10,0.6,0.0,18,2.0,1
NurturmilWater,BWA-16,7.45,145,80,12,5,50,30,19,8,0.00,7.2,0.0,25,3.05,0
MashmoomAqua,BWA-17,7.95,399,219,24,10,170,170,14,18,0.07,1.8,2.5,17,2.0,1
CHILTANAQUA,BWA-18,6.80,314,173,36,7,120,30,86,11,0.00,0.6,0.0,25.989,0.2,1
Himalaya,BWA-19,6.65,329,181,36,15,150,40,65,3,0.00,0.8,0.0,32,0.3,1
SUJO,BWA-20,7.75,359,197,36,7,120,60,48,23,0.00,2.3,1.8,35,2.0,1
Vividle,BWA-21,7.75,415,228,32,17,150,70,74,26,0.06,2.3,1.7,31,2.0,1
AQUASWAG,BWA-22,7.28,211,116,24,5,80,30,43,11,0.00,1.0,0.0,20,0.4,1
Star,BWA-23,7.50,205,113,4,2,20,80,24,44,0.00,2.1,0.0,25.989,0.5,1
Wadi Mina,BWA-24,7.75,310,171,28,10,110,70,43,24,0.06,1.8,0.0,31,0.3,1
HimalayaCool,BWA-25,7.82,315,173,24,7,90,100,24,37,0.27,3.0,0.0,30,0.8,1
AquaticFresh,BWA-26,8.08,375,206,36,17,160,110,24,20,0.23,2.3,5.3,27,2.0,1
Aqua DORE,BWA-27,7.30,279,153,28,15,130,50,60,10,0.00,0.9,0.5,21,2.0,1
Wah Water,BWA-28,7.95,277,152,24,15,120,80,21,14,0.10,1.7,3.7,26,2.0,1
OXY,BWA-29,7.76,280,154,24,15,120,80,36,13,0.00,1.5,2.9,18,2.0,1
AquaminPlus,BWA-30,7.58,295,162,24,7,90,60,45,29,0.00,1.2,0.6,31,2.0,1
NEBRASKA,BWA-31,7.58,464,255,44,22,200,70,80,17,0.00,10.9,0.3,64,2.0,1
BREATHE,BWA-32,7.58,519,285,56,12,190,30,120,19,0.00,1.1,1.6,31,2.0,1
TOP UP,BWA-33,7.95,414,228,40,19,180,130,24,20,0.06,2.3,5.3,32,2.0,1
