BrandName,BrandCode,pH,EC,TDS,Ca,Mg,Hard,HCO3,Cl,Na,F,K,NO3,SO4,As,Potability
Sunley Pure,BWZ-22,7.51,439,241,20,27,160,150,14,21,0.36,0.7,1.7,30,2.0,1
Water Plus,BWZ-23,7.76,443,244,40,19,180,160,16,19,0.32,0.6,3.1,27,2.0,1
Aqua Stream,BWZ-24,7.44,463,255,44,17,180,170,20,23,0.49,0.8,3.4,21,2.0,1
Sea Pack,BWZ-25,7.20,264,145,16,12,90,75,20,9,0.36,0.6,0.8,25,2.0,1
Aqua FLO,BWZ-26,7.24,261,144,16,17,110,85,14,10,0.27,0.6,0.9,24,2.0,1
Maple Plus,BWZ-27,7.42,431,237,28,27,180,160,18,17,0.46,0.7,2.9,20,2.0,1
Calci Dew,BWZ-28,7.00,347,191,32,15,140,100,36,13,0.36,0.4,1.1,20,2.0,1
Elim,BWZ-29,7.10,315,177,20,13,105,65,38,25,0.29,1.186,2.4,28,2.0,1
Alfalah,BWZ-30,7.42,381,210,36,19,170,70,60,11,0.29,0.3,0.947,33,2.0,1
FAIHA,BWZ-31,7.75,355,195,28,17,140,60,48,18,0.27,0.3,0.947,34,2.0,1
City Spring,BWZ-32,7.50,410,226,36,19,170,70,72,17,0.24,1.186,0.947,35,0.2,1
Alpine Pure,BWZ-33,7.05,409,170,20,17,120,65,5,16,0.18,1.186,0.947,20,0.6,1
Al-massafi,BWZ-34,7.51,326,179,33.41,22,90,50,64,35,0.27,2.1,2.5,13,0.2,1
JEL,BWZ-35,7.41,285,157,12,15,90,50,48,25,0.31,1.186,1.5,20,0.2,1
Aqua King,BWZ-36,7.85,455,250,16,19,120,110,60,48,0.28,1.7,0.3,30,0.5,1
HF PUREEDGE,BWZ-37,7.58,335,184,12,10,70,60,62,44,0.61,1.9,0.3,19,2.0,1
MM PureDrinking,BWZ-38,7.50,935,514,30,38,230,380,38,106,0.38,4.7,4,19,0.3,0
WaterBlue Spring,BWZ-39,7.65,914,503,32,29,200,340,55,114,0.34,6.0,4,20,0.4,0
Culligan,BWZ-40,7.30,308,169,20,19,130,85,48,8,0.37,7.7,0.947,25.989,2.0,1
Aqua best,BWZ-41,6.95,560,308,12,19,110,150,72,76,0.34,0.6,1.36,20,3.05,0
NEO,BWZ-42,7.48,246,135,12,10,70,50,35,24,0.22,1.186,2.8,14,2.0,1
Water Plus,BWZ-43,7.12,291,160,12,10,70,40,55,32,0.21,0.3,2.9,18,2.0,1
Blue Plus,BWZ-44,6.89,768,422,12,34,170,95,168,92,0.33,5.3,6.5,27,3.05,0
Aqua Star,BWZ-45,6.56,335,184,28,15,130,55,80,15,0.45,0.5,0.3,25.989,2.0,1
VIVAJHEEL,BWZ-46,7.15,396,218,20,19,130,65,72,30,0.30,1.0,0.2,28,2.0,1
ALPHA7STAR,BWZ-47,7.08,317,174,28.25,13.16,124.61,40,72,72,0.21,0.4,0.1,14,3.05,0
YK Pure,BWZ-48,6.85,492,271,28.25,10,40,20,105,68,0.48,7.9,3.3,19,3.05,0
Yes,BWZ-49,7.20,312,172,20,12,100,40,60,27,0.27,1.186,1.6,25,2.0,1
Sunlay,BWZ-50,7.25,403,222,12,17,100,85,60,48,0.23,1.8,0.5,30,2.0,1
Hibba,BWZ-51,7.42,580,319,28,15,110,90,80,62,0.19,6.6,2.2,41,3.05,0
LEVENSilver,BWZ-52,7.28,449,247,8,15,80,85,65,66,0.24,1.1,1.7,40,3.05,0
ALPHA,BWZ-53,7.05,162,89,8,10,60,30,30,9,0.27,1.186,0.1,10,2.0,1
Afshak,BWZ-54,7.36,365,201,16,12,90,95,36,38,0.30,4.5,0.1,34,2.0,1
Al-ZAID,BWZ-55,7.25,316,174,12,15,90,70,24,29,0.22,2.3,0.09,54,2.0,1
ICE Drop,BWZ-56,7.84,518,285,32,15,140,70,72,40,0.31,1.7,1.6,52,2.0,1
New Buxton,BWZ-57,6.45,266,146,20,17,120,50,36,7,0.41,0.3,0.2,32,2.0,1
MAA JEE,BWZ-58,6.85,386,212,20,22,140,80,48,25,0.28,2.9,3.4,34,2.0,1
Oslo,BWZ-59,7.28,350,193,33.41,24,100,73,48,34,0.16,3.6,0.8,30,2.0,1
Dista Water,BWZ-60,7.08,377,207,20,15,110,50,48,34,0.21,2.7,0.8,60,3.05,0
Bio,BWZ-61,7.21,123,68,12,2,40,25,12,10,0.27,1.4,2.5,17,2.0,1
DazzlingWater,BWZ-62,6.66,367,202,28,12,120,85,48,27,0.31,0.7,0.2,25,0.5,1
Ice Well,BWZ-63,7.03,243,134,20,13,105,65,20,7,0.41,0.9,1.2,28,0.3,1
Masafi,BWZ-64,6.73,452,249,48,22,210,90,82,7,0.10,0.6,0.947,25,0.6,1
Aqua Natural,BWZ-65,7.52,408,224,36,17,160,200,52.408,19,0.22,4.4,0.947,25.989,0.5,1
OASIS,BWZ-66,8.02,545,300,44,22,200,270,52.408,32,0.211,3.8,0.947,25.989,0.3,1
Needs,BWZ-67,7.05,394,217,44,15,170,76,72,11,0.51,0.7,0.2,18,0.6,1
Aqua Sea,BWZ-68,6.96,159,87,16,5,60,30,24,9,0.211,0.6,0.947,21,0.7,1
Isberg,BWZ-69,7.80,370,204,40,2,110,120,48,35,0.37,1.6,0.947,25.989,2.0,1
SialkoPureDrinkingWater,BWZ-70,7.85,295,162,28,12,120,130,12,12,0.26,2.6,0.947,25.989,2.0,1
Bake Master,BWZ-71,7.55,371,204,25,19,150,105,36,17,0.21,1.2,0.947,30,0.5,1
DJOUR,BWZ-72,7.25,303,167,20,15,110,65,36,18,0.16,0.6,1.36,36,3.05,0
Himalaya�sSpring,BWZ-73,7.25,271,149,20,10,90,60,30,22,0.21,0.6,0.947,26,2.0,1
Aqua Royals,BWZ-74,6.60,417,229,52,15,190,100,72,6,0.31,0.6,0.947,6,2.0,1
Murree Sparkletts,BWZ-75,7.65,387,213,40,12,150,140,10,16,0.16,1.2,2.2,22,2.0,1
ATLANTIS,BWZ-76,6.59,319,175,20,15,110,60,50,22,0.21,0.7,0.3,26,1,1
Nation,BWZ-77,7.30,419,230,24,12,140,100,48,30,0.41,1.186,0.947,35,3,1
Super Natural,BWZ-78,6.40,230,127,33.41,10,40,40,30,34,0.211,1.3,0.7,31,3,1
CHENAB,BWZ-79,6.15,485,267,40,19,180,50,82,30,0.10,9.0,2.2,33,3,0
McWAY,BWZ-80,6.80,451,248,40,17,170,100,60,27,0.22,0.6,0.4,39,2.0,1
Best Natural,BWZ-81,7.50,469,258,28,15,130,175,16,48,0.211,2.1,0.947,35,2,1
ALL PURE,BWZ-82,7.40,416,229,40,17,170,80,72,19,0.19,0.2,0.947,26,3,1
IMMA,BWZ-83,7.60,348,191,20,19,130,60,52,21,0.03,1.186,0.947,41,2.0,1
Soft Water,BWZ-84,7.68,300,165,32,15,140,120,14,8,0.09,2.7,3.58,29,2.0,1
Stream,BWZ-85,6.95,360,198,24,19,140,10,16,18,0.26,1.1,4.3,28,2.0,1
Cristalene,BWZ-86,6.80,288,166,40,2,110,40,77,18,0.211,1.186,0.947,5,0.9,1
Aqua One,BWZ-87,6.70,405,232,40,12,150,60,72,22,0.211,1.186,0.947,50,0.8,1
Jami Water,BWZ-88,6.80,371,211,24,10,100,80,58,43,0.211,1.186,0.947,28,0.8,1
Rahat,BWZ-89,6.80,334,186,28,10,110,60,53,22,0.211,1.186,0.947,37,0.8,1
Erie Water,BWZ-90,6.60,341,192,44,5,130,50,72,20,0.211,1.186,0.947,21,0.8,1
Drinklay,BWZ-91,6.70,392,216,42,11,150,40,72,17,0.211,1.186,0.947,50,0.9,1
Glacial Water,BWZ-92,6.80,322,180,34,9,120,50,62,18,0.211,1.186,0.17,27,0.8,1
Nestle,BWZ-93,6.80,362,199,46,9,150,40,72,15,0.211,1.186,0.947,33,0.9,1
Aqua Fina,BWZ-94,7.00,199,120,2,13,60,10,24,22,0.211,1.186,0.947,53,0.9,1
Sufi,BWZ-95,6.80,360,198,38,9,130,40,77,19,0.211,1.186,0.947,31,0.7,1
GourmetWater,BWZ-96,7.10,375,206,44,5,130,60,77,21,0.211,1.186,0.947,23,1.1,1
Klinz,BWZ-97,6.80,521,317,52,10,170,100,100,47,0.211,1.186,0.947,48,0.5,1
Besal,BWZ-98,7.10,211,128,18,9,80,40,38,16,0.211,1.186,0.947,23,0.9,1
Dasani,BWZ-99,7.20,233,146,30,6,100,20,9,10,0.211,1.186,0.947,79,3.0,1
Aqua Safe,BWZ-100,7.10,375,213,20,15,110,100,34,39,0.211,0.7,0.947,45,4.8,1
SpringsWater,BWZ-101,7.10,438,244,16,32,170,50,34,20,0.211,1.186,0.947,112,0.8,1
Minto,BWZ-102,7.10,363,198,32,11,125,60,62,21,0.211,1.186,0.947,36,3.2,1
Aqua Gen,BWZ-103,6.70,287,168,34,10,125,45,58,18,0.211,1.186,0.17,21,2.8,1
Doce Water,BWZ-104,6.80,454,255,36,12,140,90,52,42,0.211,1.186,0.947,59,0.8,1
Himalaya,BWZ-105,6.60,166,91,12,12,80,20,24,23.008,0.16,0.9,0.947,27,2.0,1
Vividle,BWZ-106,7.30,441,243,40,15,160,100,62,24,0.21,2.6,0.30,29,2.0,1
Seven Spring,BWZ-107,7.35,164,90,12,7,60,45,12,8,0.211,5.4,0.36,20,2.0,1
SUJO,BWZ-108,7.30,339,241,40,17,170,140,32,21,0.10,2.1,0.31,30,2.0,1
Al-Kausar,BWY-01,6.70,343,188,40,10,140,40,72,13,0.211,0.7,0.4,27,2.0,1
BestKashmir,BWY-02,7.60,331,222,52,19,210,200,12,7,0.211,2.2,0.7,7,2.0,1
DeewanWater,BWY-03,7.45,621,342,68,17,240,250,24,25,0.07,4.0,0.947,26,2.0,1
Corny,BWY-04,6.58,462,254,32,12,130,130,55,44,0.211,8.4,0.947,32,0.3,1
SHUKRAN,BWY-05,6.52,303,167,24,10,100,30,72,21,0.211,0.9,0.947,32,0.2,1
OSLO,BWY-06,6.70,296,163,16,15,100,50,45,18,0.10,3.9,0.8,32,2.0,1
MADIKH,BWY-07,6.51,273,150,16,12,90,30,55,19,0.211,0.9,0.3,30,0.2,1
Vey,BWY-08,6.51,299,164,20,17,120,30,60,10,0.211,9.0,0.947,34,2.0,1
Dasani,BWY-09,6.64,245,135,33.41,24,100,80,12,9,0.08,0.8,0.947,21,2.0,1
CloverSmartWater,BWY-10,6.89,357,196,16,7,70,50,65,43,0.06,1.2,0.947,28,0.3,1
Nestle,BWY-11,7.30,405,223,40,10,140,50,96,25,0.211,1.186,0.5,23,2.0,1
NFS,BWY-12,6.89,573,315,12,15,90,150,72,86,0.16,5.3,0.2,21,0.4,0
NatureAqua,BWY-13,7.06,312,172,12,12,80,100,19,35,0.09,3.8,0.3,26,2,1
Blu Water,BWY-14,6.62,300,165,20,15,110,30,72,17,0.211,0.5,0.947,29,2.0,1
MurreeSparkletts,BWY-15,7.66,369,203,40,10,140,130,19,19,0.10,1.0,0.947,18,2.0,1
Springley,BWY-16,7.68,495,272,52,19,210,130,72,22,0.211,1.3,0.947,14,2.0,1
Nation,BWY-17,7.41,303,167,12,12,80,100,24,36,0.211,0.5,0.947,25,3,1
SuperNatural,BWY-18,6.90,453,249,8,12,70,90,72,76,0.16,3.2,0.3,44,4.2,0
Maple Plus,BWY-19,7.29,300,165,12,12,80,70,31,33,0.211,0.5,1.8,36,2.0,1
Calci Dew,BWY-20,7.70,326,179,28,15,130,120,24,17,0.11,1.0,1.5,18,2.0,1
Springley,BWY-21,7.75,490,270,72,5,200,200,12,21,0.27,1.2,3.2,16,2.0,1
Nectar,BWY-22,7.70,380,209,36,12,140,60,55,19,0.08,0.8,1.7,29,2.0,1
Fresh Life,BWY-23,7.46,492,260,52,17,80,180,22,17,0.24,2.1,1.99,25,2.0,1
Nestol,BWY-24,7.24,212,117,16,10,100,70,14,9,0.08,1.2,0.9,10,2.0,1
AquaGreen,BWY-25,7.56,280,154,12,12,80,70,31,33,0.06,0.5,2.0,24,2.0,1
Deosai,BWY-26,6.92,446,245,28,15,130,80,72,35,0.06,0.9,3.4,26,2.0,1
WaterEmpire,BWY-27,7.78,231,127,20,5,70,60,26,20,0.05,0.8,0.9,20,2.0,1
City SpringWater,BWY-28,7.23,425,234,36,12,140,60,79,30,0.10,0.2,0.947,33,2.0,1
AlpinePure,BWY-29,7.28,346,190,28,12,120,50,65,22,0.08,0.2,0.947,27,2.0,1
AlfalahMineralWater,BWY-30,7.41,364,200,28,12,120,50,72,25,0.07,0.5,0.947,27,2.0,1
FrescoHealthyWater,BWY-31,7.20,288,158,24,15,120,30,62,14,0.10,0.2,0.947,29,2.0,1
ECO,BWY-32,7.50,454,250,30,11,120,90,55,45,0.14,1.1,0.3,42,0.2,1
AquaRoyals,BWY-33,7.05,320,176,36,5,110,30,84,18,0.04,0.2,1.36,7,0.6,0
SialkoPureDrinkingWater,BWY-34,7.85,188,103,20,7,80,80,10,6,0.16,1.5,0.947,25.989,0.2,1
Isberg,BWY-35,7.50,382,210,36,10,130,120,53,28,0.23,1.3,0.947,25.989,0.2,1
AquaNatural,BWY-36,7.60,390,215,32,19,160,180,12,15,0.24,4.0,1.36,32.14,0.5,0
BakeMaster,BWY-37,7.00,323,178,24,17,130,60,50,15,0.20,0.8,0.947,26,2.0,1
ICE WELL,BWY-38,7.52,627,345,44,24,210,180,79,44,0.19,0.5,0.947,21,0.3,1
HimalayaSpring,BWY-39,7.35,296,163,20,15,110,50,53,17,0.08,0.2,0.947,25,0.4,1
Elim,BWY-40,7.18,340,187,20,15,110,70,43,28,0.04,1.1,4.3,25,2.0,1
Water Plus,BWY-41,7.56,485,267,32,29,200,170,29,18,0.12,0.8,3.4,25,2.0,1
Venora,BWY-42,7.56,350,193,48,7,150,130,10,7,0.52,1.0,1.22,29,2.0,1
Hydra,BWY-43,7.41,453,249,48,15,180,190,12,21,0.35,0.8,1.77,15,2.0,1
SunleyPure,BWY-44,7.40,458,252,48,15,180,180,17,20,0.19,0.8,1.78,15,2.0,1
AquaStream,BWY-45,6.94,347,191,40,15,160,70,52,8,0.211,0.4,0.8,30,2.0,1
AQUASTAR,BWY-46,6.85,301,157,36,6.1,115,40,75,13,0.06,1.0,0.3,25.989,2.0,1
Blue Plus,BWY-47,6.50,529,273,28,14.6,130,55,123,50,0.05,2.7,0.9,13,2.0,1
WATERFALL,BWY-48,6.62,279,148,28,11,115,30,61,8,0.08,1.186,0.3,21,2.0,1
Aab-ESehat,BWY-49,6.50,382,212,20,2.4,40,50,94,50,0.03,3.1,0.5,2,2.0,1
TheLegend,BWY-50,6.52,280,154,22,8.5,90,30,58,23,0.04,1.186,1.5,18,2.0,1
Water PlusPremium,BWY-51,6.55,273,150,18,7.3,75,40,51,27,0.08,1.186,1.5,16,2.0,1
Aqua King,BWY-52,6.64,414,234,22,4.9,75,80,64,50,0.23,2.2,0.5,33,2.0,1
Hibba,BWY-53,6.57,582,320,28,14.6,130,110,90,66,0.20,7.2,1.6,41,3.05,0
D.Y Fresh& PureWater,BWY-54,6.53,475,269,32,11,125,45,89,48,0.18,1.8,1.1,55,2.0,1
NEO,BWY-55,6.59,264,147,18,6.1,70,40,45,27,0.11,1.186,1.1,22,2.0,1
ALPHA,BWY-56,6.59,214,114,20,8.5,85,40,31,10,0.06,1.186,0.3,19,2.0,1
WaterRight,BWY-57,6.55,315,174,24,8.5,95,55,49,27,0.31,1.2,1.7,24,2.0,1
CrystalMaya,BWY-58,6.50,383,219,12,7.3,60,40,86,50,0.17,0.7,2.3,21,2.0,1
DOURO,BWY-59,6.50,158,87,8,3.6,35,30,24,19,0.09,1.186,1.2,9,2.0,1
Dropice,BWY-60,6.09,413,232,24,18.2,135,40,65,31,0.18,2.71,0.2,69,3.05,0
AQUALUS,BWY-61,6.16,347,186,24,9.7,100,30,93,29,0.19,1.9,1.7,3,3.05,0
MASKOOB,BWB-01,7.62,570,314,40,12,150,230,10,64,0.34,4.7,0.20,51,27,0
Vital,BWB-02,7.03,340,187,20,9,85,65,60,45,0.06,1.1,0.947,28,3.3,1
Alpine Pure,BWB-03,6.63,311,177,40,12,150,40,55,7,0.12,0.9,0.947,40,0.9,1
Alfalah,BWB-04,6.88,373,205,40,12,150,50,70,15,0.14,0.9,0.947,41,3.1,1
FAIHA,BWB-05,7.05,347,191,40,10,140,80,46,20,0.13,0.8,0.947,31,5.4,1
Al-Safa,BWB-06,7.38,430,237,52,10,170,100,62,14,0.10,2.6,0.20,19,14,0
Himalaya Cool,BWB-07,7.00,278,153,28,2,80,60,26,28,0.20,2.5,0.947,35,0.4,1
Aqua SWAG,BWB-08,6.19,248,136,20,11,95,30,54,13,0.18,0.8,1.36,20,0.7,0
Oriel,BWB-09,7.03,230,127,20,5,70,60,28,20,0.14,1.6,0.06,17,2.0,1
NESTOL,BWB-10,7.53,330,182,40,10,140,120,16,12,0.20,1.7,2,24,0.4,1
Springley,BWB-11,7.56,519,286,68,12,220,220,18,23,0.26,1.9,3.7,23,2.0,1
Pure Nature,BWB-12,7.52,360,198,28,7,100,120,24,34,0.22,2.2,0.08,26,29,0
Fresco HealthyWater,BWB-13,6.58,200,110,12,12.378,30,20,40,32,0.07,1.0,0.10,25,2.0,1
Super Natural,BWB-14,6.93,300,165,12,5,50,50,36,41,0.16,2.3,1,39,1.7,1
CHENAB,BWB-15,6.5,425,234,40,10,140,40,90,27,0.10,1.2,2.56,34,2.0,1
New Nation,BWB-16,7.20,360,198,40,6,125,90,48,30,0.20,0.7,0.947,34,4.2,1
ATLANTISWater,BWB-17,6.82,302,166,20,12,100,40,65,24,0.211,1.2,0.38,21,2.0,1
McWay Water,BWB-18,6.84,342,188,40,7,130,50,72,19,0.16,0.7,0.60,25,1.2,0
Aqua Soft,BWB-19,7.72,586,322,60,19,230,160,40,43,1.70,1.9,1.46,51,2.0,1
Aqua Hygienic,BWB-20,6.95,321,177,40,2,70,30,70,10,0.16,0.6,0.947,33,1.1,1
Dasani,BWB-21,6.58,188,104,24,2,70,20,10,4,0.08,0.7,0.947,51,2.0,1
Ice Land,BWB-22,6.77,201,111,24,7,90,25,40,14,0.15,0.5,0.947,26,0.6,1
JEL,BWB-23,6.72,536,295,40,17,70,30,120,50,0.06,1.2,1.84,25,2.0,1
AquaFina,BWB-24,6.68,230,127,16,12.378,40,40,28,18,0.05,1.5,0.947,39,0.6,1
Nestle,BWB-25,7.16,442,243,64,7,190,50,96,13,0.04,0.5,0.947,32,2.0,1
CHILTANAqua,BWB-26,6.5,368,203,40,12,150,40,96,10,0.211,1.2,0.947,25.989,2.0,1
NEO,BWB-27,6.80,275,151,28,7,100,50,30,23,0.211,0.7,2.08,27,2.0,1
Aqua Natural,BWB-28,7.23,350,193,44,2,120,160,10,15,0.16,3.9,0.947,6,1.3,1
Aqua Royals,BWB-29,6.5,422,232,60,7,180,30,104,6,0.04,0.9,0.04,25.989,1.1,1
Needs,BWB-30,7.22,289,159,20,22,140,80,30,23,0.10,1.2,0.10,31,3.5,1
Isberg,BWB-31,7.35,335,184,40,7,130,90,60,23,0.211,1.3,0.947,6,3.6,1
Urban Sip,BWB-32,6.90,277,152,20,10,90,50,28,16,0.05,0.9,0.947,28,0.7,1
Britx NaturalWater,BWB-33,6.55,253,139,28,2,80,20,70,5,0.06,0.6,0.947,20,2.0,1
DazzlingWater,BWB-34,7.05,426,234,40,22,190,90,75,28,0.07,1.2,1.60,27,0.2,1
Masafi,BWB-35,7.08,426,234,20,32,180,70,96,18,0.211,0.6,0.947,17,2.0,1
Bake Master,BWB-36,7.05,156,86,16,2,50,50,24,8,0.06,1.2,0.947,22,1.5,1
ICE WELL,BWB-37,6.76,288,158,36,10,130,30,60,5,0.07,0.9,0.947,29,1.0,1
Droplet,BWB-38,6.98,610,336,48,19,200,70,48,41,0.38,3.7,3.2,140,0.6,1
MAA JEE,BWB-39,6.55,325,179,28,10,110,30,65,18,0.14,2.9,3.5,35,2.0,1
Al-Ghadeer,BWB-40,6.5,293,161,28,12,120,30,75,13,0.211,1.5,1.1,15,0.2,1
Pristine One,BWB-41,6.5,485,267,60,41,210,50,114,14,0.12,0.9,0.2,34,3.05,0
Alkaline Water,BWB-42,6.5,189,103,28.25,1,45,20,40,21,0.06,4.2,2.5,9,0.6,0
OSLO,BWB-43,6.95,341,188,20,19,80,50,55,36,0.12,3.4,0.8,31,2.0,1
Al-Zaid,BWB-44,6.99,502,276,20,30,175,40,48,34,0.32,3.4,3.2,144,0.4,1
Afshak,BWB-45,6.5,273,150,36,7,130,40,72,9,0.05,0.8,0.947,9,0.6,1
Refine,BWB-46,6.5,425,234,32,10,130,60,75,41,0.05,1.9,1.2,39,0.5,1
More Plus,BWB-47,6.18,337,185,32,15,140,40,70,19,0.07,0.9,0.2,30,3.05,0
ICE Drop,BWB-48,7.06,457,251,28,15,140,80,75,38,0.16,1.9,2.1,31,0.4,1
ALPHA,BWB-49,6.70,255,140,16,12.378,70,40,48,28,0.18,0.9,0.6,24,2.0,1
Active One,BWB-50,6.5,120,66,33.41,7,30,30,36,14,0.04,2.1,1.3,10,2.0,1
Blue Life,BWB-51,6.5,600,330,20,19,80,50,120,96,0.23,1.1,5,32,3.05,0
Orish,BWB-52,6.65,404,222,12,15,90,90,50,50,0.09,0.7,1.6,31,2.0,1
Al-Umer,BWB-53,6.5,492,271,16,17,110,180,120,50,0.06,5.6,0.5,14,2.0,1
Crystal Maya,BWB-54,6.55,120,66,8,13.16,20,20,15,16,0.08,1.7,1.1,12,3.05,0
Aqua Star,BWB-55,6.5,325,190,24,15,120,30,96,22,0.211,1.4,0.2,6,2.0,1
ONE,BWB-56,6.48,535,294,4,12,60,75,120,98,0.03,4.9,0.2,19,3.05,0
Hill drops,BWB-57,6.92,330,182,16,7,70,50,52,41,0.07,4.3,6.0,12,2.0,1
Clover SmartWater,BWB-58,6.92,345,190,28,2,80,60,50,43,0.24,1.5,4.8,26,2.0,1
Yes,BWB-59,6.63,298,164,16,10,80,30,60,28,0.05,0.6,1.4,20,2.0,1
HUNZA,BWB-60,6.58,363,200,16,5,60,40,75,56,0.211,1.2,6.2,15,0.5,1
Dropice,BWB-61,6.80,700,385,20,22,120,120,140,100,0.24,5.0,0.7,57,3.05,0
UF PureEDGE,BWB-62,6.68,157,86,33.41,5,20,20,36,28,0.19,1.0,0.947,15,2.0,1
Douro,BWB-63,7.12,352,188,28,5,90,60,40,39,0.13,1.6,3.6,37,2.0,1
AM 2 PM,BWB-64,6.28,252,139,20,7,80,50,48,23,0.211,2.2,0.2,15,2.0,1
H2O WaterRight,BWB-65,7.02,353,194,20,6,75,50,55,46,0.25,1.9,5.4,24,2.0,1
Water Plus,BWB-66,6.63,414,228,20,5,70,30,96,50,0.211,0.8,0.9,19,2.0,1
Blue Plus,BWB-67,6.5,559,308,28,7,100,80,114,80,0.16,4.6,8.6,28,3.05,0
Elovina Water,BWB-68,6.80,281,155,40,2,110,70,36,14,0.211,0.9,1.3,12,2.0,1
Seven Stream,BWB-69,7.06,360,198,52,5,150,130,24,19,0.04,1.2,3.2,14,2.0,1
Calci Dew,BWB-70,6.82,270,149,40,5,120,70,40,13,0.211,0.9,1.4,11,2.0,1
Springley,BWB-71,7.35,493,271,60,12,200,210,20,24,0.211,1.9,3.4,18,2.0,1
DrinkIt Pure,BWB-72,6.76,440,242,52,2,140,100,65,39,0.211,1.6,1.1,26,2.0,1
Fresh Life,BWB-73,7.00,424,233,60,7,180,170,14,16,0.05,2.1,1.7,20,2.0,1
Nestol,BWB-74,7.32,358,197,56,2,150,120,28,13,0.06,1.6,1.5,19,2.0,1
Ripple Water,BWB-75,7.22,422,232,60,10,190,100,60,21,0.03,1.7,1.0,24,2.0,1
Al-MENAWater,BWB-76,6.52,361,199,40,12,150,55,80,22,0.211,0.6,0.2,25,2.0,1
Aqua Green,BWB-77,6.72,325,178,40,7,130,80,45,34,0.211,0.6,1.9,28,2.0,1
Deosai,BWB-78,6.85,446,245,56,2,150,80,72,39,0.211,1.6,5.1,28,2.0,1
Water Empire,BWB-79,7.18,344,189,40,12.378,100,90,36,25,0.211,1.0,1.2,27,2.0,1
Victoria,BWB-80,7.67,625,344,80,19,280,250,40,37,0.44,6.9,0.947,26,3.5,1
Pine�o,BWB-81,7.32,439,242,56,2,150,80,80,48,0.08,1.9,0.947,26,1.3,1
National,BWB-82,7.18,349,192,32,10,120,50,70,30,0.04,0.8,0.7,21,0.4,1
MountainSpring,BWB-83,7.17,369,202,48,5,140,150,16,14,0.44,1.2,2.1,15,2.0,1
Pure Next,BWB-84,6.92,374,206,28,22,160,60,65,32,0.211,0.5,0.947,30,2.0,1
MARWAWater,BWB-85,6.68,398,219,40,7,130,70,72,19,0.211,0.6,0.947,26,2.0,1
Hyder,BWB-86,6.60,378,208,48,2,130,70,60,25,0.211,0.8,1.3,30,2.0,1
Hydra,BWB-87,7.02,469,258,60,12,200,210,16,25,0.211,1.5,1.5,17,2.0,1
Sunley,BWB-88,7.01,475,261,60,12,200,170,45,25,0.211,1.4,1.5,19,2.0,1
SUJO,BWB-89,7.08,464,255,40,22,190,90,82,22,0.06,1.3,0.3,29,2.0,1
Vividle,BWB-90,7.05,462,254,40,19,180,70,82,20,0.07,1.3,0.3,29,2.0,1
Himalaya,BWB-91,7.26,424,233,40,17,170,80,72,23,0.211,0.7,0.1,30,2.0,1
Seven Spring,BWB-92,7.02,248,136,40,2,110,50,18,5,0.08,2.9,0.4,39,2.0,1
Aqua One,BWB-93,7.60,308,174,32,12,130,30,62,12,0.03,1.186,0.947,37,0.9,1
Cristalene,BWB-94,7.10,259,144,32,5,100,30,62,11,0.01,1.186,0.947,16,0.8,1
Jami Water,BWB-95,7.00,378,209,24,12,110,70,48,32,0.211,1.186,0.947,51,0.9,1
Rahat Water,BWB-96,7.00,334,186,32,10,120,60,57,19,0.211,1.186,0.947,32,0.8,1
Erie Water,BWB-97,6.70,322,178,38,7,125,40,72,14,0.211,1.186,0.947,23,0.9,1
Klinz,BWB-98,7.00,529,322,46,16,180,70,134,44,0.211,1.186,0.03,40,2.6,1
Glacial Water,BWB-99,7.20,288,159,32,7,110,40,62,13,0.211,1.186,0.59,18,1.1,1
Pure It,BWB-100,6.80,363,202,24,7,90,80,48,39,0.211,0.1,0.947,36,6.1,1
Drinklay,BWB-101,6.90,337,188,32,10,120,50,57,18,0.211,1.186,0.947,41,0.9,1
Pureflo,BWB-102,7.40,372,210,32,7,110,100,57,35,0.211,0.1,0.947,18,0.9,1
Aqua Fit,BWB-103,7.20,196,113,18,9,80,40,33,10,0.211,1.186,0.947,19,0.9,1
Aqua HealthLife,BWB-104,6.90,338,203,14,18,110,80,24,28,0.211,1.186,0.947,71,0.9,1
Trust DrinkingWater,BWB-105,6.70,292,162,16,13,95,50,36,19,0.02,1.186,0.87,44,0.9,1
Aqua Safe,BWB-106,7.50,341,188,18,16,110,80,39,26,0.211,1.186,0.947,41,5.5,1
Ice Berg,BWB-107,7.10,322,182,46,1,120,40,88,17,0.211,1.186,0.947,6,2.0,1
Amfahh,BWB-108,7.30,242,133,26,6,90,40,53,12,0.211,1.186,0.947,12,0.8,1
Doce Water,BWB-109,6.80,307,175,38,9,130,20,72,16,0.211,1.186,0.947,28,0.9,1
GourmetWater,BWB-110,7.00,347,192,38,9,130,40,77,19,0.211,1.186,0.21,25,0.8,1
Aasnai Sip,BWB-111,7.10,329,186,34,9,120,30,62,17,0.211,1.186,0.947,46,0.9,1
Sufi,BWB-112,7.30,348,197,40,9,135,50,67,20,0.211,1.186,0.947,31,2.7,1
KarakoromFlow,BWB-113,7.20,267,163,8,17,90,50,19,22,0.211,1.186,0.947,67,0.8,1
Marine Blue,BWB-114,7.20,351,194,28,15,130,70,57,18,0.211,1.186,0.947,34,1.9,1
